account,period,value
cff,2015Q4,-6573509000000.0
cfi,2015Q4,-27167787000000.0
cfo,2015Q4,40061761000000.0
op_profit,2015Q4,26413442000000.0
revenue,2015Q4,200653482000000.0
cff,2016Q1,-4261569000000.0
cfi,2016Q1,-2390665000000.0
cfo,2016Q1,8718290000000.0
op_profit,2016Q1,6675812000000.0
revenue,2016Q1,49782252000000.0
cff,2016Q2,-4506919000000.0
cfi,2016Q2,-7786329000000.0
cfo,2016Q2,13344845000000.0
op_profit,2016Q2,1468138000000.0
revenue,2016Q2,1154868000000.0
cff,2016Q3,-1491940000000.0
cfi,2016Q3,-12180872000000.0
cfo,2016Q3,14336597000000.0
op_profit,2016Q3,-2943861000000.0
revenue,2016Q3,-3121487000000.0
cff,2016Q4,1590914000000.0
cfi,2016Q4,-7300809000000.0
cfo,2016Q4,10985912000000.0
op_profit,2016Q4,24040583000000.0
revenue,2016Q4,154051112000000.0
cff,2017Q1,-5188892000000.0
cfi,2017Q1,-8165139000000.0
cfo,2017Q1,10597271000000.0
op_profit,2017Q1,9898361000000.0
revenue,2017Q1,50547526000000.0
cff,2017Q2,-3982514000000.0
cfi,2017Q2,-7937583000000.0
cfo,2017Q2,12426162000000.0
op_profit,2017Q2,4168186000000.0
revenue,2017Q2,10453011000000.0
cff,2017Q3,-1273582000000.0
cfi,2017Q3,-14954628000000.0
cfo,2017Q3,17447062000000.0
op_profit,2017Q3,466612000000.0
revenue,2017Q3,1048364000000.0
cff,2017Q4,-2115879000000.0
cfi,2017Q4,-18327866000000.0
cfo,2017Q4,21691546000000.0
op_profit,2017Q4,39111879000000.0
revenue,2017Q4,177526475000000.0
cff,2018Q1,-6929313000000.0
cfi,2018Q1,-7373336000000.0
cfo,2018Q1,15616352000000.0
op_profit,2018Q1,15642170000000.0
revenue,2018Q1,60563714000000.0
cff,2018Q2,-2391133000000.0
cfi,2018Q2,-12181739000000.0
cfo,2018Q2,13437774000000.0
op_profit,2018Q2,-773135000000.0
revenue,2018Q2,-2081056000000.0
cff,2018Q3,3631369000000.0
cfi,2018Q3,-16922190000000.0
cfo,2018Q3,15549657000000.0
op_profit,2018Q3,2705830000000.0
revenue,2018Q3,6977335000000.0
cff,2018Q4,-9401145000000.0
cfi,2018Q4,-15763188000000.0
cfo,2018Q4,22428080000000.0
op_profit,2018Q4,41311804000000.0
revenue,2018Q4,178311422000000.0
cff,2019Q1,-4097535000000.0
cfi,2019Q1,-5244570000000.0
cfo,2019Q1,5244311000000.0
op_profit,2019Q1,6233282000000.0
revenue,2019Q1,52385546000000.0
cff,2019Q2,-2778625000000.0
cfi,2019Q2,-3284060000000.0
cfo,2019Q2,6594865000000.0
op_profit,2019Q2,363783000000.0
revenue,2019Q2,3741558000000.0
cff,2019Q3,-2203273000000.0
cfi,2019Q3,-12933588000000.0
cfo,2019Q3,13826599000000.0
op_profit,2019Q3,1180827000000.0
revenue,2019Q3,5876367000000.0
cff,2019Q4,-405077000000.0
cfi,2019Q4,-18485953000000.0
cfo,2019Q4,19717140000000.0
op_profit,2019Q4,19990617000000.0
revenue,2019Q4,168397410000000.0
cff,2020Q1,-2973613000000.0
cfi,2020Q1,-8529202000000.0
cfo,2020Q1,11829879000000.0
op_profit,2020Q1,6447345000000.0
revenue,2020Q1,55325178000000.0
cff,2020Q2,-3859066000000.0
cfi,2020Q2,-2411458000000.0
cfo,2020Q2,14798153000000.0
op_profit,2020Q2,1698947000000.0
revenue,2020Q2,-2359036000000.0
cff,2020Q3,499400000000.0
cfi,2020Q3,-23988863000000.0
cfo,2020Q3,14144393000000.0
op_profit,2020Q3,4206946000000.0
revenue,2020Q3,13998018000000.0
cff,2020Q4,-1994560000000.0
cfi,2020Q4,-18699068000000.0
cfo,2020Q4,24514584000000.0
op_profit,2020Q4,23640638000000.0
revenue,2020Q4,169842828000000.0
cff,2021Q1,-594323000000.0
cfi,2021Q1,-1577609000000.0
cfo,2021Q1,13803078000000.0
op_profit,2021Q1,9382868000000.0
revenue,2021Q1,65388503000000.0
cff,2021Q2,-19048614000000.0
cfi,2021Q2,-4169343000000.0
cfo,2021Q2,12086457000000.0
op_profit,2021Q2,3183877000000.0
revenue,2021Q2,-1716918000000.0
cff,2021Q3,-547765000000.0
cfi,2021Q3,-16949490000000.0
cfo,2021Q3,18581452000000.0
op_profit,2021Q3,3250786000000.0
revenue,2021Q3,10307602000000.0
cff,2021Q4,-3800331000000.0
cfi,2021Q4,-10351321000000.0
cfo,2021Q4,20634461000000.0
op_profit,2021Q4,35816325000000.0
revenue,2021Q4,205625612000000.0
cff,2022Q1,-495346000000.0
cfi,2022Q1,-636511000000.0
cfo,2022Q1,10453069000000.0
op_profit,2022Q1,14121409000000.0
revenue,2022Q1,77781498000000.0
cff,2022Q2,-5962297000000.0
cfi,2022Q2,-19292756000000.0
cfo,2022Q2,14136066000000.0
op_profit,2022Q2,-24364000000.0
revenue,2022Q2,-577891000000.0
cff,2022Q3,-8227112000000.0
cfi,2022Q3,-8023560000000.0
cfo,2022Q3,18979311000000.0
op_profit,2022Q3,-3245000000000.0
revenue,2022Q3,-421927000000.0
