period,metric,value,category,unit,source
2019Q1,assets,345.0679,b_s,조원,2020_1Q_conference_kor.pdf#p06
2019Q1,equity,253.2152,b_s,조원,2020_1Q_conference_kor.pdf#p06
2019Q1,liabilities,91.8527,b_s,조원,2020_1Q_conference_kor.pdf#p06
2019Q2,assets,342.9401,b_s,조원,2020_2Q_conference_kor.pdf#p06
2019Q2,equity,257.747,b_s,조원,2020_2Q_conference_kor.pdf#p06
2019Q2,liabilities,85.1931,b_s,조원,2020_2Q_conference_kor.pdf#p06
2019Q3,assets,353.386,b_s,조원,2020_3Q_conference_kor.pdf#p06
2019Q3,equity,263.4423,b_s,조원,2020_3Q_conference_kor.pdf#p06
2019Q3,liabilities,89.9437,b_s,조원,2020_3Q_conference_kor.pdf#p06
2019Q4,assets,352.5645,b_s,조원,2020_1Q_conference_kor.pdf#p06
2019Q4,equity,262.8804,b_s,조원,2020_1Q_conference_kor.pdf#p06
2019Q4,liabilities,89.6841,b_s,조원,2020_1Q_conference_kor.pdf#p06
2020Q1,assets,357.4575,b_s,조원,2020_1Q_conference_kor.pdf#p06
2020Q1,equity,266.3877,b_s,조원,2020_1Q_conference_kor.pdf#p06
2020Q1,liabilities,91.0698,b_s,조원,2020_1Q_conference_kor.pdf#p06
2020Q2,assets,357.9595,b_s,조원,2020_2Q_conference_kor.pdf#p06
2020Q2,equity,269.8078,b_s,조원,2020_2Q_conference_kor.pdf#p06
2020Q2,liabilities,88.1517,b_s,조원,2020_2Q_conference_kor.pdf#p06
2020Q3,assets,375.7887,b_s,조원,2020_3Q_conference_kor.pdf#p06
2020Q3,equity,276.1361,b_s,조원,2020_3Q_conference_kor.pdf#p06
2020Q3,liabilities,99.6526,b_s,조원,2020_3Q_conference_kor.pdf#p06
2020Q4,assets,378.2357,b_s,조원,2020_4Q_conference_kor.pdf#p06
2020Q4,equity,275.948,b_s,조원,2020_4Q_conference_kor.pdf#p06
2020Q4,liabilities,102.2877,b_s,조원,2020_4Q_conference_kor.pdf#p06
