period,metric,value,category,unit
2019Q1,assets,345.0679,balance,조원
2019Q1,equity,253.2152,balance,조원
2019Q1,liabilities,91.8527,balance,조원
2019Q2,assets,342.94010000000003,balance,조원
2019Q2,equity,257.747,balance,조원
2019Q2,liabilities,85.1931,balance,조원
2019Q3,assets,353.386,balance,조원
2019Q3,equity,263.4423,balance,조원
2019Q3,liabilities,89.9437,balance,조원
2019Q4,assets,352.5645,balance,조원
2019Q4,equity,262.8804,balance,조원
2019Q4,liabilities,89.6841,balance,조원
2020Q1,assets,357.45750000000004,balance,조원
2020Q1,equity,266.3877,balance,조원
2020Q1,liabilities,91.0698,balance,조원
2020Q2,assets,357.9595,balance,조원
2020Q2,equity,269.8078,balance,조원
2020Q2,liabilities,88.1517,balance,조원
2020Q3,assets,375.7887,balance,조원
2020Q3,equity,276.1361,balance,조원
2020Q3,liabilities,99.6526,balance,조원
2020Q4,assets,378.2357,balance,조원
2020Q4,equity,275.94800000000004,balance,조원
2020Q4,liabilities,102.2877,balance,조원
