period,category,metric,value,unit,source
2023Q1,balance,assets,454.0918,조원,IR_PDF
2023Q1,balance,equity,359.7994,조원,IR_PDF
2023Q1,balance,liabilities,94.2924,조원,IR_PDF
2023Q2,balance,assets,448.0006,조원,IR_PDF
2023Q2,balance,equity,358.9756,조원,IR_PDF
2023Q2,balance,liabilities,89.0249,조원,IR_PDF
2023Q3,balance,assets,454.4664,조원,IR_PDF
2023Q3,balance,equity,363.8926,조원,IR_PDF
2023Q3,balance,liabilities,90.5738,조원,IR_PDF
2023Y,balance,assets,455.906,조원,IR_PDF
2023Y,balance,equity,363.6779,조원,IR_PDF
2023Y,balance,liabilities,92.2281,조원,IR_PDF
2024Q1,balance,assets,470.8998,조원,IR_PDF
2024Q1,balance,equity,371.9161,조원,IR_PDF
2024Q1,balance,liabilities,98.9837,조원,IR_PDF
2024Q2,balance,assets,485.7577,조원,IR_PDF
2024Q2,balance,equity,383.5267,조원,IR_PDF
2024Q2,balance,liabilities,102.231,조원,IR_PDF
2024Q3,balance,assets,491.3073,조원,IR_PDF
2024Q3,balance,equity,386.2814,조원,IR_PDF
2024Q3,balance,liabilities,105.0259,조원,IR_PDF
2024Y,balance,assets,514.532,조원,IR_PDF
2024Y,balance,equity,402.1921,조원,IR_PDF
2024Y,balance,liabilities,112.3399,조원,IR_PDF
