period,metric,value_trillion,source,explain
2024Q1,op_profit,6.6,IR_PDF,text_parser|period:2024Q1
2024Q1,revenue,71.9,IR_PDF,text_parser|period:2024Q1
2024Q2,op_profit,10.4,IR_PDF,text_parser|period:2024Q2
2024Q2,revenue,74.1,IR_PDF,text_parser|period:2024Q2
2024Q4,op_profit,6.5,IR_PDF,text_parser|period:2024Q4
2024Q4,revenue,75.8,IR_PDF,text_parser|period:2024Q4
2025Q1,op_profit,6.7,IR_PDF,text_parser|period:2025Q1
2025Q1,revenue,79.1,IR_PDF,text_parser|period:2025Q1
2025Q2,op_profit,4.7,IR_PDF,text_parser|period:2025Q2
2025Q2,revenue,74.6,IR_PDF,text_parser|period:2025Q2
