period,segment_code,segment_name_en,lineage_group,metric,value,scope,unit,source
2021Q1,DS,Device Solutions,Semiconductor,op_profit,8.45,,조원,IR_PDF
2021Q1,DS,Device Solutions,Semiconductor,revenue,26.87,,조원,IR_PDF
2021Q1,DX,Device eXperience,Consumer&Mobile,op_profit,4.56,,조원,IR_PDF
2021Q1,DX,Device eXperience,Consumer&Mobile,revenue,48.07,,조원,IR_PDF
2021Q1,Harman,Harman,Harman,op_profit,0.1,,조원,IR_PDF
2021Q1,Harman,Harman,Harman,revenue,2.67,,조원,IR_PDF
2021Q1,MX,Mobile eXperience,Consumer&Mobile,revenue,31.23,,조원,IR_PDF
2021Q1,MX_NW,MX & Network,Consumer&Mobile,op_profit,3.82,,조원,IR_PDF
2021Q1,MX_NW,MX & Network,Consumer&Mobile,revenue,32.37,,조원,IR_PDF
2021Q1,Memory,Memory,Semiconductor,revenue,20.09,,조원,IR_PDF
2021Q1,SDC,Samsung Display,Display,op_profit,1.09,,조원,IR_PDF
2021Q1,SDC,Samsung Display,Display,revenue,7.97,,조원,IR_PDF
2021Q1,Total,Total,Total,op_profit,14.12,,조원,IR_PDF
2021Q1,Total,Total,Total,revenue,77.78,,조원,IR_PDF
2021Q1,VD,Visual Display,Consumer&Mobile,revenue,8.72,,조원,IR_PDF
2021Q1,VD_DA,VD & Home Appliances,Consumer&Mobile,op_profit,0.8,,조원,IR_PDF
2021Q1,VD_DA,VD & Home Appliances,Consumer&Mobile,revenue,15.47,,조원,IR_PDF
2021Q2,DS,Device Solutions,Semiconductor,op_profit,6.93,,조원,IR_PDF
2021Q2,DS,Device Solutions,Semiconductor,revenue,23.05,,조원,IR_PDF
2021Q2,DX,Device eXperience,Consumer&Mobile,op_profit,4.34,,조원,IR_PDF
2021Q2,DX,Device eXperience,Consumer&Mobile,revenue,36.4,,조원,IR_PDF
2021Q2,Harman,Harman,Harman,op_profit,0.11,,조원,IR_PDF
2021Q2,Harman,Harman,Harman,revenue,2.42,,조원,IR_PDF
2021Q2,MX,Mobile eXperience,Consumer&Mobile,revenue,21.43,,조원,IR_PDF
2021Q2,MX_NW,MX & Network,Consumer&Mobile,op_profit,3.23,,조원,IR_PDF
2021Q2,MX_NW,MX & Network,Consumer&Mobile,revenue,22.67,,조원,IR_PDF
2021Q2,Memory,Memory,Semiconductor,revenue,17.88,,조원,IR_PDF
2021Q2,SDC,Samsung Display,Display,op_profit,1.28,,조원,IR_PDF
2021Q2,SDC,Samsung Display,Display,revenue,6.87,,조원,IR_PDF
2021Q2,Total,Total,Total,op_profit,12.57,,조원,IR_PDF
2021Q2,Total,Total,Total,revenue,63.67,,조원,IR_PDF
2021Q2,VD,Visual Display,Consumer&Mobile,revenue,7.17,,조원,IR_PDF
2021Q2,VD_DA,VD & Home Appliances,Consumer&Mobile,op_profit,1.06,,조원,IR_PDF
2021Q2,VD_DA,VD & Home Appliances,Consumer&Mobile,revenue,13.4,,조원,IR_PDF
2021Q3,DS,Device Solutions,Semiconductor,op_profit,10.07,,조원,IR_PDF
2021Q3,DS,Device Solutions,Semiconductor,revenue,26.74,,조원,IR_PDF
2021Q3,DX,Device eXperience,Consumer&Mobile,op_profit,4.15,,조원,IR_PDF
2021Q3,DX,Device eXperience,Consumer&Mobile,revenue,42.81,,조원,IR_PDF
2021Q3,Harman,Harman,Harman,op_profit,0.15,,조원,IR_PDF
2021Q3,Harman,Harman,Harman,revenue,2.4,,조원,IR_PDF
2021Q3,MX,Mobile eXperience,Consumer&Mobile,revenue,27.34,,조원,IR_PDF
2021Q3,MX_NW,MX & Network,Consumer&Mobile,op_profit,3.36,,조원,IR_PDF
2021Q3,MX_NW,MX & Network,Consumer&Mobile,revenue,28.42,,조원,IR_PDF
2021Q3,Memory,Memory,Semiconductor,revenue,20.83,,조원,IR_PDF
2021Q3,SDC,Samsung Display,Display,op_profit,1.49,,조원,IR_PDF
2021Q3,SDC,Samsung Display,Display,revenue,8.86,,조원,IR_PDF
2021Q3,Total,Total,Total,op_profit,15.82,,조원,IR_PDF
2021Q3,Total,Total,Total,revenue,73.98,,조원,IR_PDF
2021Q3,VD,Visual Display,Consumer&Mobile,revenue,7.82,,조원,IR_PDF
2021Q3,VD_DA,VD & Home Appliances,Consumer&Mobile,op_profit,0.76,,조원,IR_PDF
2021Q3,VD_DA,VD & Home Appliances,Consumer&Mobile,revenue,14.1,,조원,IR_PDF
2021Q4,DS,Device Solutions,Semiconductor,op_profit,8.83,,조원,IR_PDF
2021Q4,DS,Device Solutions,Semiconductor,revenue,26.28,,조원,IR_PDF
2021Q4,DX,Device eXperience,Consumer&Mobile,op_profit,3.38,,조원,IR_PDF
