품목명,품목코드,metric,value,yyyymm,year,month,date,quarter
소재부품장비,0,출하지수201501,95.9,201501,2015,1,2015-01-01,2015Q1
소재,10000,출하지수201501,96.4,201501,2015,1,2015-01-01,2015Q1
섬유제품,11000,출하지수201501,93.0,201501,2015,1,2015-01-01,2015Q1
제사 및 방적,11010,출하지수201501,89.5,201501,2015,1,2015-01-01,2015Q1
직물직조,11020,출하지수201501,91.3,201501,2015,1,2015-01-01,2015Q1
섬유염색 및 가공,11030,출하지수201501,90.9,201501,2015,1,2015-01-01,2015Q1
편조원단,11040,출하지수201501,95.9,201501,2015,1,2015-01-01,2015Q1
기타 섬유제품,11090,출하지수201501,98.6,201501,2015,1,2015-01-01,2015Q1
화학물질 및 화학제품,12000,출하지수201501,102.0,201501,2015,1,2015-01-01,2015Q1
석유화학계 기초화학물질,12010,출하지수201501,111.4,201501,2015,1,2015-01-01,2015Q1
기타 기초유기화학물질,12020,출하지수201501,92.2,201501,2015,1,2015-01-01,2015Q1
기타 기초무기화학물질,12030,출하지수201501,103.2,201501,2015,1,2015-01-01,2015Q1
"무기안료, 염료, 유연제 및 기타 착색제",12040,출하지수201501,88.4,201501,2015,1,2015-01-01,2015Q1
합성고무 및 플라스틱 물질,12050,출하지수201501,98.3,201501,2015,1,2015-01-01,2015Q1
농약,12060,출하지수201501,185.6,201501,2015,1,2015-01-01,2015Q1
도료 및 인쇄잉크,12070,출하지수201501,82.6,201501,2015,1,2015-01-01,2015Q1
계면활성제,12080,출하지수201501,101.5,201501,2015,1,2015-01-01,2015Q1
기타 화학제품,12090,출하지수201501,96.5,201501,2015,1,2015-01-01,2015Q1
화학섬유,12100,출하지수201501,94.6,201501,2015,1,2015-01-01,2015Q1
기초의약물질 및 생물학적 제제,12110,출하지수201501,91.0,201501,2015,1,2015-01-01,2015Q1
고무 및 플라스틱제품,13000,출하지수201501,101.3,201501,2015,1,2015-01-01,2015Q1
고무제품,13010,출하지수201501,101.9,201501,2015,1,2015-01-01,2015Q1
플라스틱제품,13020,출하지수201501,101.2,201501,2015,1,2015-01-01,2015Q1
비금속 광물제품,14000,출하지수201501,93.7,201501,2015,1,2015-01-01,2015Q1
판유리,14010,출하지수201501,94.5,201501,2015,1,2015-01-01,2015Q1
산업용 유리제품,14020,출하지수201501,100.1,201501,2015,1,2015-01-01,2015Q1
산업용 도자기,14030,출하지수201501,94.8,201501,2015,1,2015-01-01,2015Q1
내화 요업제품,14040,출하지수201501,134.1,201501,2015,1,2015-01-01,2015Q1
석회,14050,출하지수201501,71.3,201501,2015,1,2015-01-01,2015Q1
기타 비금속광물제품,14090,출하지수201501,50.8,201501,2015,1,2015-01-01,2015Q1
1차 금속제품,15000,출하지수201501,89.1,201501,2015,1,2015-01-01,2015Q1
합금철,15010,출하지수201501,90.9,201501,2015,1,2015-01-01,2015Q1
철강압연.압출 및 연신제품,15020,출하지수201501,87.0,201501,2015,1,2015-01-01,2015Q1
철강관,15030,출하지수201501,113.1,201501,2015,1,2015-01-01,2015Q1
"비철금속 제련, 정련 및 합금",15040,출하지수201501,76.0,201501,2015,1,2015-01-01,2015Q1
"비철금속압연, 압출 및 연신제품",15050,출하지수201501,91.9,201501,2015,1,2015-01-01,2015Q1
기타 1차 비철금속,15060,출하지수201501,89.2,201501,2015,1,2015-01-01,2015Q1
비철금속 주조업,15070,출하지수201501,97.7,201501,2015,1,2015-01-01,2015Q1
"도금, 착색 및 기타 표면처리강재",15090,출하지수201501,92.1,201501,2015,1,2015-01-01,2015Q1
부품,20000,출하지수201501,95.8,201501,2015,1,2015-01-01,2015Q1
금속가공제품,21000,출하지수201501,91.9,201501,2015,1,2015-01-01,2015Q1
"금속탱크, 저장조 및 유사용기",21010,출하지수201501,71.9,201501,2015,1,2015-01-01,2015Q1
핵반응기 및 증기발생기부품,21020,출하지수201501,82.7,201501,2015,1,2015-01-01,2015Q1
무기 및 총포탄 부품,21030,출하지수201501,88.0,201501,2015,1,2015-01-01,2015Q1
"금속 단조, 압형 및 분말야금 제품",21040,출하지수201501,96.3,201501,2015,1,2015-01-01,2015Q1
"금속열처리업, 도금 및 기타 처리업",21050,출하지수201501,88.6,201501,2015,1,2015-01-01,2015Q1
톱 및 호환성공구,21060,출하지수201501,94.4,201501,2015,1,2015-01-01,2015Q1
금속파스너 및 스프링,21070,출하지수201501,97.7,201501,2015,1,2015-01-01,2015Q1
기타 금속제 부품,21090,출하지수201501,95.4,201501,2015,1,2015-01-01,2015Q1
일반기계부품,22000,출하지수201501,89.7,201501,2015,1,2015-01-01,2015Q1
내연기관 및 터빈,22010,출하지수201501,64.3,201501,2015,1,2015-01-01,2015Q1
유압기기,22020,출하지수201501,97.4,201501,2015,1,2015-01-01,2015Q1
펌프 및 압축기 제조업,22030,출하지수201501,85.5,201501,2015,1,2015-01-01,2015Q1
"베어링, 기어 및 동력전달장치",22040,출하지수201501,110.1,201501,2015,1,2015-01-01,2015Q1
산업용오븐 및 노용부품,22050,출하지수201501,86.8,201501,2015,1,2015-01-01,2015Q1
운반하역기계부품,22060,출하지수201501,86.7,201501,2015,1,2015-01-01,2015Q1
냉동공조기계부품,22070,출하지수201501,84.6,201501,2015,1,2015-01-01,2015Q1
사무용 기계 및 장비,22080,출하지수201501,86.7,201501,2015,1,2015-01-01,2015Q1
