period,metric,value,category,unit,source
2021Q1,assets,426.62,balance,조원,IR_PDF
2021Q1,equity,304.9,balance,조원,IR_PDF
2021Q1,liabilities,121.72,balance,조원,IR_PDF
2021Q2,assets,384.78,balance,조원,IR_PDF
2021Q2,equity,282.32,balance,조원,IR_PDF
2021Q2,liabilities,102.45,balance,조원,IR_PDF
2021Q3,assets,410.42,balance,조원,IR_PDF
2021Q3,equity,296.77,balance,조원,IR_PDF
2021Q3,liabilities,113.65,balance,조원,IR_PDF
2022Q1,assets,392.83,balance,조원,IR_PDF
2022Q1,equity,274.27,balance,조원,IR_PDF
2022Q1,liabilities,118.56,balance,조원,IR_PDF
2022Q2,assets,448.04,balance,조원,IR_PDF
2022Q2,equity,327.91,balance,조원,IR_PDF
2022Q2,liabilities,120.13,balance,조원,IR_PDF
2022Q3,assets,470.28,balance,조원,IR_PDF
2022Q3,equity,344.91,balance,조원,IR_PDF
2022Q3,liabilities,125.37,balance,조원,IR_PDF
2022Q4,assets,426.62,balance,조원,IR_PDF
2022Q4,equity,304.9,balance,조원,IR_PDF
2022Q4,liabilities,121.72,balance,조원,IR_PDF
