period,category,metric,value,unit,source
2023FY,cashflow,cash_begin,115.23,조원,IR_PDF
2023FY,cashflow,cash_change,-22.82,조원,IR_PDF
2023FY,cashflow,cash_end,92.41,조원,IR_PDF
2023FY,cashflow,cff,-8.59,조원,IR_PDF
2023FY,cashflow,cfi,-59.49,조원,IR_PDF
2023FY,cashflow,cfo,44.13,조원,IR_PDF
2023FY,cashflow,net_cash,79.72,조원,IR_PDF
2023Q1,cashflow,cash_begin,115.23,조원,IR_PDF
2023Q1,cashflow,cash_change,-7.04,조원,IR_PDF
2023Q1,cashflow,cash_end,108.18,조원,IR_PDF
2023Q1,cashflow,cff,-0.98,조원,IR_PDF
2023Q1,cashflow,cfi,-14.73,조원,IR_PDF
2023Q1,cashflow,cfo,6.29,조원,IR_PDF
2023Q2,cashflow,cash_begin,108.18,조원,IR_PDF
2023Q2,cashflow,cash_change,-11.06,조원,IR_PDF
2023Q2,cashflow,cash_end,97.13,조원,IR_PDF
2023Q2,cashflow,cff,-5.78,조원,IR_PDF
2023Q2,cashflow,cfi,-13.14,조원,IR_PDF
2023Q2,cashflow,cfo,8.17,조원,IR_PDF
2023Q3,cashflow,cash_begin,97.13,조원,IR_PDF
2023Q3,cashflow,cash_change,-4.02,조원,IR_PDF
2023Q3,cashflow,cash_end,93.1,조원,IR_PDF
2023Q3,cashflow,cff,-1.96,조원,IR_PDF
2023Q3,cashflow,cfi,-12.75,조원,IR_PDF
2023Q3,cashflow,cfo,9.73,조원,IR_PDF
2023Q4,cashflow,cash_begin,93.1,조원,IR_PDF
2023Q4,cashflow,cash_change,-0.7,조원,IR_PDF
2023Q4,cashflow,cash_end,92.41,조원,IR_PDF
2023Q4,cashflow,cff,0.13,조원,IR_PDF
2023Q4,cashflow,cfi,-18.87,조원,IR_PDF
2023Q4,cashflow,cfo,19.94,조원,IR_PDF
2024Q1,cashflow,cash_begin,92.41,조원,IR_PDF
2024Q1,cashflow,cash_change,4.99,조원,IR_PDF
2024Q1,cashflow,cash_end,97.39,조원,IR_PDF
2024Q1,cashflow,cff,1.26,조원,IR_PDF
2024Q1,cashflow,cfi,-10.68,조원,IR_PDF
2024Q1,cashflow,cfo,11.87,조원,IR_PDF
2024Q2,cashflow,cash_begin,97.39,조원,IR_PDF
2024Q2,cashflow,cash_change,3.4,조원,IR_PDF
2024Q2,cashflow,cash_end,100.8,조원,IR_PDF
2024Q2,cashflow,cff,-4.1,조원,IR_PDF
2024Q2,cashflow,cfi,-11.51,조원,IR_PDF
2024Q2,cashflow,cfo,16.9,조원,IR_PDF
2024Q3,cashflow,cash_begin,100.8,조원,IR_PDF
2024Q3,cashflow,cash_change,2.98,조원,IR_PDF
2024Q3,cashflow,cash_end,103.78,조원,IR_PDF
2024Q3,cashflow,cff,-2.18,조원,IR_PDF
2024Q3,cashflow,cfi,-14.3,조원,IR_PDF
2024Q3,cashflow,cfo,22.2,조원,IR_PDF
2024Q4,cashflow,cash_begin,92.41,조원,IR_PDF
2024Q4,cashflow,cash_change,20.24,조원,IR_PDF
2024Q4,cashflow,cash_end,112.65,조원,IR_PDF
2024Q4,cashflow,cff,-7.8,조원,IR_PDF
2024Q4,cashflow,cfi,-53.37,조원,IR_PDF
2024Q4,cashflow,cfo,72.98,조원,IR_PDF
2024Q4,cashflow,net_cash,93.32,조원,IR_PDF
