period,metric,value,category,unit,source
2019Q1,income_before_tax,7.72,quarter,조원,2020_1Q_conference_kor.pdf#p02
2019Q1,net_profit,5.23,quarter,조원,2020_1Q_conference_kor.pdf#p02
2019Q1,net_profit_controlling,5.23,quarter,조원,2020_1Q_conference_kor.pdf#p02
2019Q1,op_profit,7.16,quarter,조원,2020_1Q_conference_kor.pdf#p02
2019Q1,revenue,59.88,quarter,조원,2020_1Q_conference_kor.pdf#p02
2019Q2,income_before_tax,6.76,quarter,조원,2020_2Q_conference_kor.pdf#p02
2019Q2,net_profit,4.88,quarter,조원,2020_2Q_conference_kor.pdf#p02
2019Q2,net_profit_controlling,4.89,quarter,조원,2020_2Q_conference_kor.pdf#p02
2019Q2,op_profit,6.45,quarter,조원,2020_2Q_conference_kor.pdf#p02
2019Q2,revenue,55.33,quarter,조원,2020_2Q_conference_kor.pdf#p02
2019Q3,income_before_tax,7.77,quarter,조원,2020_3Q_conference_kor.pdf#p02
2019Q3,net_profit,5.56,quarter,조원,2020_3Q_conference_kor.pdf#p02
2019Q3,net_profit_controlling,5.49,quarter,조원,2020_3Q_conference_kor.pdf#p02
2019Q3,op_profit,8.15,quarter,조원,2020_3Q_conference_kor.pdf#p02
2019Q3,revenue,52.97,quarter,조원,2020_3Q_conference_kor.pdf#p02
2019Q4,income_before_tax,12.2,quarter,조원,2020_1Q_conference_kor.pdf#p02
2019Q4,net_profit,8.8,quarter,조원,2020_1Q_conference_kor.pdf#p02
2019Q4,net_profit_controlling,8.8,quarter,조원,2020_1Q_conference_kor.pdf#p02
2019Q4,op_profit,11.7,quarter,조원,2020_1Q_conference_kor.pdf#p02
2019Q4,revenue,100.0,quarter,조원,2020_1Q_conference_kor.pdf#p02
2020Q1,income_before_tax,6.76,quarter,조원,2020_1Q_conference_kor.pdf#p02
2020Q1,net_profit,4.88,quarter,조원,2020_1Q_conference_kor.pdf#p02
2020Q1,net_profit_controlling,4.89,quarter,조원,2020_1Q_conference_kor.pdf#p02
2020Q1,op_profit,6.45,quarter,조원,2020_1Q_conference_kor.pdf#p02
2020Q1,revenue,55.33,quarter,조원,2020_1Q_conference_kor.pdf#p02
2020Q2,income_before_tax,7.77,quarter,조원,2020_2Q_conference_kor.pdf#p02
2020Q2,net_profit,5.56,quarter,조원,2020_2Q_conference_kor.pdf#p02
2020Q2,net_profit_controlling,5.49,quarter,조원,2020_2Q_conference_kor.pdf#p02
2020Q2,op_profit,8.15,quarter,조원,2020_2Q_conference_kor.pdf#p02
2020Q2,revenue,52.97,quarter,조원,2020_2Q_conference_kor.pdf#p02
2020Q3,income_before_tax,12.84,quarter,조원,2020_3Q_conference_kor.pdf#p02
2020Q3,net_profit,9.36,quarter,조원,2020_3Q_conference_kor.pdf#p02
2020Q3,net_profit_controlling,9.27,quarter,조원,2020_3Q_conference_kor.pdf#p02
2020Q3,op_profit,12.35,quarter,조원,2020_3Q_conference_kor.pdf#p02
2020Q3,revenue,66.96,quarter,조원,2020_3Q_conference_kor.pdf#p02
2020Q4,income_before_tax,8.97,quarter,조원,2020_4Q_conference_kor.pdf#p02
2020Q4,net_profit,6.61,quarter,조원,2020_4Q_conference_kor.pdf#p02
2020Q4,net_profit_controlling,6.45,quarter,조원,2020_4Q_conference_kor.pdf#p02
2020Q4,op_profit,9.05,quarter,조원,2020_4Q_conference_kor.pdf#p02
2020Q4,revenue,61.55,quarter,조원,2020_4Q_conference_kor.pdf#p02
