period,metric,value_trillion,explain,source
2021Q1,op_profit,14.12,,IR_PDF
2021Q1,revenue,77.78,,IR_PDF
2021Q2,op_profit,12.57,,IR_PDF
2021Q2,revenue,63.67,,IR_PDF
2021Q3,op_profit,15.82,,IR_PDF
2021Q3,revenue,73.98,,IR_PDF
2021Q4,op_profit,13.87,,IR_PDF
2021Q4,revenue,76.57,,IR_PDF
2022Q1,op_profit,9.38,,IR_PDF
2022Q1,revenue,65.39,,IR_PDF
2022Q2,op_profit,14.1,,IR_PDF
2022Q2,revenue,77.2,,IR_PDF
2022Q3,op_profit,10.85,,IR_PDF
2022Q3,revenue,76.78,,IR_PDF
2022Q4,op_profit,4.31,,IR_PDF
2022Q4,revenue,70.46,,IR_PDF
