period,segment_code,segment_name_en,lineage_group,metric,value,scope,unit,source
2019Q1,CE,Consumer Electronics,Consumer&Mobile,op_profit,0.51,segment,조원,2020_1Q_conference_kor.pdf#p03
2019Q1,CE,Consumer Electronics,Consumer&Mobile,revenue,10.17,segment,조원,2020_1Q_conference_kor.pdf#p03
2019Q1,DS,Device Solutions,Semiconductor,op_profit,3.54,segment,조원,2020_1Q_conference_kor.pdf#p03
2019Q1,DS,Device Solutions,Semiconductor,revenue,20.62,segment,조원,2020_1Q_conference_kor.pdf#p03
2019Q1,Harman,Harman,Harman,op_profit,0.01,segment,조원,2020_1Q_conference_kor.pdf#p03
2019Q1,Harman,Harman,Harman,revenue,2.19,segment,조원,2020_1Q_conference_kor.pdf#p03
2019Q1,IM,IT & Mobile communications,Consumer&Mobile,op_profit,2.27,segment,조원,2020_1Q_conference_kor.pdf#p03
2019Q1,IM,IT & Mobile communications,Consumer&Mobile,revenue,27.2,segment,조원,2020_1Q_conference_kor.pdf#p03
2019Q1,Total,Total,Total,op_profit,6.23,segment,조원,2020_1Q_conference_kor.pdf#p03
2019Q1,Total,Total,Total,revenue,52.39,segment,조원,2020_1Q_conference_kor.pdf#p03
2019Q2,CE,Consumer Electronics,Consumer&Mobile,op_profit,0.69,segment,조원,2020_2Q_conference_kor.pdf#p03
2019Q2,CE,Consumer Electronics,Consumer&Mobile,revenue,11.21,segment,조원,2020_2Q_conference_kor.pdf#p03
2019Q2,DS,Device Solutions,Semiconductor,op_profit,4.15,segment,조원,2020_2Q_conference_kor.pdf#p03
2019Q2,DS,Device Solutions,Semiconductor,revenue,23.53,segment,조원,2020_2Q_conference_kor.pdf#p03
2019Q2,Harman,Harman,Harman,op_profit,0.09,segment,조원,2020_2Q_conference_kor.pdf#p03
2019Q2,Harman,Harman,Harman,revenue,2.52,segment,조원,2020_2Q_conference_kor.pdf#p03
2019Q2,IM,IT & Mobile communications,Consumer&Mobile,op_profit,1.56,segment,조원,2020_2Q_conference_kor.pdf#p03
2019Q2,IM,IT & Mobile communications,Consumer&Mobile,revenue,25.86,segment,조원,2020_2Q_conference_kor.pdf#p03
2019Q2,Total,Total,Total,op_profit,6.6,segment,조원,2020_2Q_conference_kor.pdf#p03
2019Q2,Total,Total,Total,revenue,56.13,segment,조원,2020_2Q_conference_kor.pdf#p03
2019Q3,CE,Consumer Electronics,Consumer&Mobile,op_profit,0.52,segment,조원,2020_3Q_conference_kor.pdf#p03
2019Q3,CE,Consumer Electronics,Consumer&Mobile,revenue,11.07,segment,조원,2020_3Q_conference_kor.pdf#p03
2019Q3,DS,Device Solutions,Semiconductor,op_profit,4.24,segment,조원,2020_3Q_conference_kor.pdf#p03
2019Q3,DS,Device Solutions,Semiconductor,revenue,26.64,segment,조원,2020_3Q_conference_kor.pdf#p03
2019Q3,Harman,Harman,Harman,op_profit,0.1,segment,조원,2020_3Q_conference_kor.pdf#p03
2019Q3,Harman,Harman,Harman,revenue,2.63,segment,조원,2020_3Q_conference_kor.pdf#p03
2019Q3,IM,IT & Mobile communications,Consumer&Mobile,op_profit,2.92,segment,조원,2020_3Q_conference_kor.pdf#p03
2019Q3,IM,IT & Mobile communications,Consumer&Mobile,revenue,29.25,segment,조원,2020_3Q_conference_kor.pdf#p03
2019Q3,Total,Total,Total,op_profit,7.78,segment,조원,2020_3Q_conference_kor.pdf#p03
2019Q3,Total,Total,Total,revenue,62.0,segment,조원,2020_3Q_conference_kor.pdf#p03
2019Q4,CE,Consumer Electronics,Consumer&Mobile,op_profit,0.79,segment,조원,2020_1Q_conference_kor.pdf#p03
2019Q4,CE,Consumer Electronics,Consumer&Mobile,revenue,12.87,segment,조원,2020_1Q_conference_kor.pdf#p03
2019Q4,DS,Device Solutions,Semiconductor,op_profit,3.66,segment,조원,2020_1Q_conference_kor.pdf#p03
2019Q4,DS,Device Solutions,Semiconductor,revenue,24.74,segment,조원,2020_1Q_conference_kor.pdf#p03
2019Q4,Harman,Harman,Harman,op_profit,0.12,segment,조원,2020_1Q_conference_kor.pdf#p03
2019Q4,Harman,Harman,Harman,revenue,2.73,segment,조원,2020_1Q_conference_kor.pdf#p03
2019Q4,IM,IT & Mobile communications,Consumer&Mobile,op_profit,2.52,segment,조원,2020_1Q_conference_kor.pdf#p03
2019Q4,IM,IT & Mobile communications,Consumer&Mobile,revenue,24.95,segment,조원,2020_1Q_conference_kor.pdf#p03
2019Q4,Total,Total,Total,op_profit,7.16,segment,조원,2020_1Q_conference_kor.pdf#p03
2019Q4,Total,Total,Total,revenue,59.88,segment,조원,2020_1Q_conference_kor.pdf#p03
2020Q1,CE,Consumer Electronics,Consumer&Mobile,op_profit,0.45,segment,조원,2020_1Q_conference_kor.pdf#p03
2020Q1,CE,Consumer Electronics,Consumer&Mobile,revenue,10.3,segment,조원,2020_1Q_conference_kor.pdf#p03
2020Q1,DS,Device Solutions,Semiconductor,op_profit,3.72,segment,조원,2020_1Q_conference_kor.pdf#p03
2020Q1,DS,Device Solutions,Semiconductor,revenue,24.13,segment,조원,2020_1Q_conference_kor.pdf#p03
2020Q1,Harman,Harman,Harman,op_profit,-0.19,segment,조원,2020_1Q_conference_kor.pdf#p03
2020Q1,Harman,Harman,Harman,revenue,2.1,segment,조원,2020_1Q_conference_kor.pdf#p03
2020Q1,IM,IT & Mobile communications,Consumer&Mobile,op_profit,2.65,segment,조원,2020_1Q_conference_kor.pdf#p03
2020Q1,IM,IT & Mobile communications,Consumer&Mobile,revenue,26.0,segment,조원,2020_1Q_conference_kor.pdf#p03
2020Q1,Total,Total,Total,op_profit,6.45,segment,조원,2020_1Q_conference_kor.pdf#p03
